Species	Collection/Museum No.	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15
Aphelaspis longispina	USGS 2491-CO	4.937	1.46	4.948	2.065	4.958	2.83	5.031	4.993	5.062	5.452	NA	NA	6.738	2.343	3.477	3.22	6.314	3.192	3.414	4.645	6.578	4.527	4.096	4.861	5.932	4.742	4.103	5.32	5.994	5.25
Aphelaspis longispina	USGS 2491-CO	5.168	1.474	5.242	1.983	5.304	2.577	5.434	4.26	5.497	4.665	3.813	2.319	6.649	2.207	4.044	2.738	NA	NA	4.065	3.96	NA	NA	4.61	4.107	6.139	4.079	NA	NA	6.167	4.414
Aphelaspis longispina	USGS 2491-CO	5.523	2.225	5.481	2.748	5.468	3.367	5.385	5.21	5.364	5.595	4.078	2.975	NA	NA	4.257	3.532	6.499	3.649	4.168	4.814	6.479	4.873	4.567	5.107	6.148	5.058	4.587	5.354	NA	NA
Aphelaspis longispina	USGS 2491-CO	5.102	0.776	5.085	1.43	5.082	2.257	5.014	4.585	4.963	5.177	2.961	1.889	6.791	1.95	3.319	2.665	6.607	2.675	3.247	4.177	6.75	4.33	3.901	4.422	5.994	4.534	3.85	4.81	5.984	4.912
Aphelaspis longispina	USGS 2491-CO	4.865	2.754	4.868	3.096	4.862	3.372	4.889	4.596	4.882	4.905	3.974	3.271	NA	NA	NA	NA	5.615	3.574	3.853	4.32	5.749	4.273	4.337	4.509	5.359	4.509	4.307	4.68	NA	NA
Aphelaspis longispina	USGS 2491-CO	5.581	1.03	5.55	1.833	5.471	2.708	5.292	5.21	5.272	5.756	3.449	2.1	7.475	2.358	3.707	3.068	7.043	3.233	3.48	4.633	NA	NA	4.16	4.932	NA	NA	4.119	5.426	NA	NA
Aphelaspis longispina	USGS 2491-CO	5.433	2.248	5.46	2.679	5.474	3.336	5.522	4.951	5.522	5.354	4.112	2.959	6.719	2.87	NA	NA	6.535	3.473	NA	NA	6.685	4.595	4.804	4.855	NA	NA	4.776	5.108	NA	NA
Aphelaspis longispina	USGS 2491-CO	5.281	1.661	5.328	2.343	5.328	3.079	5.396	5.355	5.429	5.875	NA	NA	7.003	2.546	NA	NA	6.793	3.39	3.788	4.7	7.009	4.7	4.376	5.287	6.381	5.193	4.389	5.652	NA	NA
Aphelaspis longispina	USGS 2491-CO	6.052	3.473	6.097	4.468	6.12	5.679	6.097	8.823	6.142	9.559	3.518	5.09	8.563	4.853	3.891	6.267	8.212	6.142	NA	NA	8.405	8.088	4.706	8.597	7.522	8.563	4.604	9.298	7.545	9.231
Aphelaspis longispina	USGS 2491-CO	15.874	8.685	15.825	9.482	15.752	10.32	15.711	12.857	15.735	13.45	13.515	9.929	18.021	10.027	13.963	10.767	17.516	10.799	13.564	12.409	17.728	12.401	14.621	12.597	16.825	12.694	14.613	13.158	NA	NA
Aphelaspis longispina	USGS 2491-CO	15.754	7.639	15.814	8.941	15.725	10.026	15.854	14.034	15.854	14.829	12.582	9.498	NA	NA	13.079	10.861	NA	NA	12.8	13.168	NA	NA	13.984	13.815	NA	NA	14.034	14.66	17.445	14.571
Aphelaspis longispina	USGS 2491-CO	15.836	2.589	15.836	3.502	15.897	4.536	15.927	7.457	15.967	8.179	13.498	3.874	18.295	3.994	13.899	4.877	17.934	4.998	13.669	6.824	NA	NA	14.592	7.186	17.201	7.186	14.652	7.838	17.161	7.828
Aphelaspis longispina	USGS 2491-CO	4.307	1.527	4.265	2.07	4.23	2.849	4.199	4.63	4.175	5.062	NA	NA	5.751	2.439	2.901	3.1	5.49	3.065	2.874	4.227	NA	NA	3.395	4.394	NA	NA	3.333	4.672	NA	NA
Aphelaspis longispina	USGS 2491-CO	7.011	3.725	7.061	4.834	7.061	5.773	7.141	9.029	7.091	9.718	4.305	5.213	NA	NA	4.734	6.292	8.929	5.992	NA	NA	9.448	8.21	5.573	8.929	8.389	8.679	5.563	9.428	NA	NA
Aphelaspis subditus	USGS 2488-CO	10.755	5.162	10.82	6.388	10.798	8.152	10.906	12.368	10.992	13.336	7.27	7.249	14.218	7.12	7.916	8.97	13.702	8.798	7.507	11.723	14.197	11.25	8.948	12.046	12.798	11.852	8.97	12.884	12.841	12.755
Aphelaspis subditus	USGS 2488-CO	5.343	2.021	5.367	2.521	5.35	3.34	5.201	6.084	5.204	6.615	NA	NA	7.456	3.148	3.403	3.978	NA	NA	3.244	5.339	NA	NA	4.01	5.796	NA	NA	3.992	6.225	NA	NA
Aphelaspis subditus	USGS 2488-CO	12.544	5.181	12.471	6.308	12.398	7.708	12.198	11.289	12.18	12.035	NA	NA	15.325	7.163	NA	NA	14.962	8.617	NA	NA	14.925	10.508	10.58	10.962	13.853	11.253	10.526	11.671	NA	NA
Aphelaspis subditus	USGS 2489-CO	12.19	10.518	12.133	12.039	12.002	14.406	11.908	20.341	11.908	21.618	7.513	13.223	16.491	13.147	7.888	15.664	15.984	15.552	7.325	18.97	16.509	18.914	9.184	19.871	14.481	19.796	9.034	21.149	14.688	21.111
Aphelaspis subditus	USGS 2489-CO	5.207	1.669	5.207	2.238	5.189	3.055	5.228	5.349	5.2	5.857	3.452	2.593	NA	NA	NA	NA	6.727	3.481	NA	NA	6.898	4.916	4.134	5.093	6.237	5.136	4.163	5.605	6.173	5.626
